start_time,end_time,sent_end_time,sentence,filename
137.800s,141.400s,141.500s,It's like a who's who of the helicopter?,0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
317.700s,321.100s,321.900s,How does it feel to be our first special guest?,0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
330.800s,335.700s,336.100s,So can you tell me a little bit more about the rotorcraft roadmap?,0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
335s,338.300s,339s,It was launched a little while ago now wasn't it?,0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
707.600s,734.500s,734.500s,So people can tweet go on LinkedIn and other social media to engage with the discussion online and hopefully share things with their contacts who can't be there so climb on the hashtag is it's ashtag he has a hot dog craft use this whenever you are talking about the Symposium on social media and everyone can follow Was a discussion and did you know all about the importance of hashtags before we started preparing this podcast?,0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
852.700s,866.600s,867.900s,Where's a good thing say everything is that drive safety toward the goal in the hot dog have saved your Mac on man make me smile talking about smiling the final session of the main planner has an excellent session to finish with so what's that again?,0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
993.400s,998.800s,999.700s,"Wow, that sounds like a pretty full-on day gentlemen, really?",0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
1063.800s,1071.400s,1073s,So that's the safety Workshop covered lemon what's going on in the other veto session on the morning of day two?,0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
1083.100s,1085.500s,1086.900s,So what are we covering in this session?,0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
1168.800s,1172.400s,1173s,"So yeah, tell me how do we finish the Symposium?",0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
1272.100s,1277.200s,1279.300s,So can you tell me a little bit about what the role of the rotorcraft committee is?,0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
1321.100s,1326.700s,1328.300s,What are we then decide on where we are going to go with the subject?,0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
1328.300s,1335.700s,1337.600s,And what do you see as the greatest safety challenge for the European helicopter Community today than him?,0\1\show_05EnKVf0pdLQYTeFH9YFGR\47wNfViAMb53dnywi0AfvG.json
